[DEBUG] 2018-02-17 17:46:20.325 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@5af77cb4
[DEBUG] 2018-02-17 17:46:20.325 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@5af77cb4
[DEBUG] 2018-02-17 17:46:20.325 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@5af77cb4
[DEBUG] 2018-02-17 17:46:20.326 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@5af77cb4
[DEBUG] 2018-02-17 17:46:20.328 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@58c0beb3
[DEBUG] 2018-02-17 17:46:20.328 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@58c0beb3
[DEBUG] 2018-02-17 17:46:20.328 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@58c0beb3
[DEBUG] 2018-02-17 17:46:20.328 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@58c0beb3
[DEBUG] 2018-02-17 17:46:20.330 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@554b5eb
[DEBUG] 2018-02-17 17:46:20.330 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@554b5eb
[DEBUG] 2018-02-17 17:46:20.330 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@554b5eb
[DEBUG] 2018-02-17 17:46:20.330 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@554b5eb
